epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,5465.95,0.87227,0.76854,0.80979,0.65004,0.57948,0.63846,0.49652,0.78875,0.72702,0.81007,0.00208,0.00208,0.00208
82,5532.54,0.87436,0.77372,0.80795,0.65013,0.57956,0.63922,0.49434,0.7902,0.72344,0.81006,0.001981,0.001981,0.001981
83,5599.44,0.87144,0.76763,0.81032,0.61809,0.59215,0.63936,0.49563,0.78848,0.7185,0.81018,0.001882,0.001882,0.001882
84,5666.33,0.86586,0.76737,0.80707,0.63395,0.58624,0.64108,0.49523,0.78846,0.71993,0.80966,0.001783,0.001783,0.001783
85,5733.28,0.8594,0.74344,0.80919,0.627,0.60101,0.64228,0.49702,0.78843,0.71941,0.80936,0.001684,0.001684,0.001684
86,5800.2,0.86455,0.75341,0.80647,0.63113,0.60472,0.64388,0.49804,0.78702,0.71955,0.80935,0.001585,0.001585,0.001585
87,5867.08,0.84773,0.7394,0.80852,0.65044,0.58715,0.64351,0.49913,0.78756,0.72236,0.80941,0.001486,0.001486,0.001486
88,5933.88,0.86159,0.73704,0.8073,0.64806,0.59617,0.63911,0.49177,0.7869,0.72219,0.80927,0.001387,0.001387,0.001387
89,6000.48,0.85365,0.72244,0.80692,0.65095,0.58639,0.63807,0.49193,0.78694,0.72147,0.80898,0.001288,0.001288,0.001288
90,6067.36,0.85521,0.71398,0.80424,0.64633,0.59625,0.63678,0.48857,0.78818,0.72062,0.80901,0.001189,0.001189,0.001189
91,6157.06,0.81882,0.64407,0.80582,0.59069,0.61849,0.63726,0.49185,0.78698,0.72096,0.80888,0.00109,0.00109,0.00109
92,6223.37,0.81763,0.63312,0.80591,0.61182,0.62469,0.63683,0.49082,0.78804,0.72182,0.80883,0.000991,0.000991,0.000991
93,6289.57,0.80304,0.61786,0.80408,0.60676,0.61835,0.63888,0.49214,0.78885,0.72162,0.80873,0.000892,0.000892,0.000892
94,6355.9,0.79894,0.61243,0.80175,0.61845,0.61308,0.63862,0.49186,0.78941,0.71981,0.80886,0.000793,0.000793,0.000793
95,6421.97,0.80085,0.60568,0.80437,0.62104,0.62448,0.6392,0.49255,0.7898,0.7206,0.8088,0.000694,0.000694,0.000694
96,6488.17,0.79598,0.59354,0.80457,0.63978,0.61487,0.64167,0.49374,0.79055,0.72063,0.80881,0.000595,0.000595,0.000595
97,6554.28,0.79967,0.59319,0.80734,0.62745,0.62775,0.64201,0.49386,0.79056,0.72208,0.80866,0.000496,0.000496,0.000496
98,6620.43,0.7911,0.58011,0.80293,0.62578,0.62938,0.64366,0.49473,0.79099,0.72298,0.8087,0.000397,0.000397,0.000397
99,6686.45,0.7953,0.58791,0.80105,0.62953,0.62819,0.64423,0.49537,0.79034,0.72414,0.80874,0.000298,0.000298,0.000298
100,6752.55,0.79146,0.58384,0.80133,0.63298,0.62704,0.64472,0.49731,0.78998,0.72488,0.80859,0.000199,0.000199,0.000199
